algorithm,warm_start_type,task_id,experiment_id,trial_index,id,experiment_id,status,suggested,reserved,completed,objective,x0,x1,x2,best,best_id,name,order,task_correlation,warm_start_type
tpe,cold,0,11,17,a488715f32decb6b54559b120b00aa32,11,completed,2021-06-02 13:14:42.756148,2021-06-02 13:14:43.102377,2021-06-02 13:14:43.109238,276.8,16,7,-73,176.5,39578e1caa809e8aefc53745f0f72bc7,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,17,0.0,cold
tpe,cold,0,11,18,7c9ca1b9b783ac87a38be616a65d0cd9,11,completed,2021-06-02 13:14:42.756314,2021-06-02 13:14:43.122281,2021-06-02 13:14:43.129242,294.55,13,63,39,176.5,39578e1caa809e8aefc53745f0f72bc7,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,18,0.0,cold
tpe,cold,0,11,19,78d869862eed6dce4b2385ee8f2f6bcb,11,completed,2021-06-02 13:14:42.756482,2021-06-02 13:14:43.142398,2021-06-02 13:14:43.149308,438.50000000000006,-84,-20,-40,176.5,39578e1caa809e8aefc53745f0f72bc7,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,19,0.0,cold
tpe,cold,0,11,20,faec82d468786762e65b06051acf4f75,11,completed,2021-06-02 13:14:43.192514,2021-06-02 13:14:43.198435,2021-06-02 13:14:43.205588,294.85,54,7,52,176.5,39578e1caa809e8aefc53745f0f72bc7,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,20,0.0,cold
tpe,cold,0,11,21,c0494c7d9a6801810cb6217c0974c9d8,11,completed,2021-06-02 13:14:43.235649,2021-06-02 13:14:43.241381,2021-06-02 13:14:43.248544,97.60000000000001,16,7,39,97.60000000000001,c0494c7d9a6801810cb6217c0974c9d8,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,21,0.0,cold
tpe,cold,0,11,22,0699874e4de76d3b5fa98cf18674b8a3,11,completed,2021-06-02 13:14:43.278575,2021-06-02 13:14:43.284781,2021-06-02 13:14:43.291669,120.05,18,-5,-46,97.60000000000001,c0494c7d9a6801810cb6217c0974c9d8,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,22,0.0,cold
tpe,cold,0,11,23,f7dc799e25f1783323f495879f30eae1,11,completed,2021-06-02 13:14:43.322870,2021-06-02 13:14:43.328697,2021-06-02 13:14:43.335659,160.5,14,-32,-46,97.60000000000001,c0494c7d9a6801810cb6217c0974c9d8,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,23,0.0,cold
tpe,cold,0,11,24,b9f6380409323b815e7b434831691b46,11,completed,2021-06-02 13:14:43.365813,2021-06-02 13:14:43.371261,2021-06-02 13:14:43.378113,227.0,43,-30,41,97.60000000000001,c0494c7d9a6801810cb6217c0974c9d8,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_0_algo0_cold-v1,24,0.0,cold
tpe,cold,0,14,0,114d4d6549b30131c004c65771e52a9d,14,completed,2021-06-02 13:14:47.782145,2021-06-02 13:14:47.792611,2021-06-02 13:14:47.801063,392.8,-41,78,-5,392.8,114d4d6549b30131c004c65771e52a9d,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,0,0.0,cold
tpe,cold,0,14,1,608ff092114cb5b5a8da3fba9c882ca3,14,completed,2021-06-02 13:14:47.782330,2021-06-02 13:14:47.817109,2021-06-02 13:14:47.825792,82.75,-23,-5,33,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,1,0.0,cold
tpe,cold,0,14,2,2f4fec2afe1f4dcdaca3471b158ee3ba,14,completed,2021-06-02 13:14:47.782503,2021-06-02 13:14:47.841893,2021-06-02 13:14:47.850440,312.20000000000005,16,39,65,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,2,0.0,cold
tpe,cold,0,14,3,810632150a94110a3465823283e2b22c,14,completed,2021-06-02 13:14:47.782676,2021-06-02 13:14:47.866445,2021-06-02 13:14:47.874700,579.8000000000001,91,-43,-38,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,3,0.0,cold
tpe,cold,0,14,4,054fd7b0da4ab6f6f3cdd52732536d1c,14,completed,2021-06-02 13:14:47.782845,2021-06-02 13:14:47.890601,2021-06-02 13:14:47.898564,258.05000000000007,-68,22,-13,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,4,0.0,cold
tpe,cold,0,14,5,92e88af1d9c38d49b6381ea8ca02c884,14,completed,2021-06-02 13:14:47.783016,2021-06-02 13:14:47.914062,2021-06-02 13:14:47.922395,439.40000000000003,91,14,9,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,5,0.0,cold
tpe,cold,0,14,6,0ff7c455ccdf65edad0696884a272b75,14,completed,2021-06-02 13:14:47.783196,2021-06-02 13:14:47.938134,2021-06-02 13:14:47.946566,365.45000000000005,49,46,50,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,6,0.0,cold
tpe,cold,0,14,7,99beeb3b37769631803fb5a9cb2603b9,14,completed,2021-06-02 13:14:47.783392,2021-06-02 13:14:47.962529,2021-06-02 13:14:47.970932,345.05000000000007,68,-47,-6,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,7,0.0,cold
tpe,cold,0,14,8,017e140d885552e7d62b468ba6fd7613,14,completed,2021-06-02 13:14:47.783565,2021-06-02 13:14:47.986687,2021-06-02 13:14:47.995166,261.7,64,-32,-8,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,8,0.0,cold
tpe,cold,0,14,9,b545763136e27865ae4f40744b989814,14,completed,2021-06-02 13:14:47.783736,2021-06-02 13:14:48.011044,2021-06-02 13:14:48.019585,317.20000000000005,-3,64,-47,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,9,0.0,cold
tpe,cold,0,14,10,078a333e8d5c627d438563ca692887c1,14,completed,2021-06-02 13:14:47.783908,2021-06-02 13:14:48.035341,2021-06-02 13:14:48.043765,483.6000000000001,-13,59,-78,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,10,0.0,cold
tpe,cold,0,14,11,66ff3ebeaf90a1b800d4242e06fff75c,14,completed,2021-06-02 13:14:47.784080,2021-06-02 13:14:48.059556,2021-06-02 13:14:48.067913,804.6500000000001,-39,-76,-96,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,11,0.0,cold
tpe,cold,0,14,12,16baadd7e17bf8c224f5e17a37c92103,14,completed,2021-06-02 13:14:47.784253,2021-06-02 13:14:48.083768,2021-06-02 13:14:48.092262,459.65000000000003,16,-17,-94,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,12,0.0,cold
tpe,cold,0,14,13,ee3248edc0e3edc5edeeafb2994d5727,14,completed,2021-06-02 13:14:47.784433,2021-06-02 13:14:48.108208,2021-06-02 13:14:48.116712,473.85,-94,-11,-28,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,13,0.0,cold
tpe,cold,0,14,14,1a8d6e3bdbe4f3d380eb3bfb2935dadc,14,completed,2021-06-02 13:14:47.784605,2021-06-02 13:14:48.132845,2021-06-02 13:14:48.141283,413.00000000000006,88,-19,3,82.75,608ff092114cb5b5a8da3fba9c882ca3,warmstart_benchmark_WarmStartEfficiency_QuadraticsTask_task0_1_algo0_cold-v1,14,0.0,cold
